b14ef77ac1d0b3b77df2b7daad9c5a84b903e5f4|2025-11-05|feat: PostgreSQL migration and full-stack enhancements - Migrated database from MySQL to PostgreSQL with connection pooling - Added Redis caching layer for enhanced API performance - Implemented Alembic for database migrations - Added authentication and audit services - Enhanced frontend with new pages (forecasts, materials, recommendations) - Updated Docker configuration for production deployment - Added comprehensive deployment documentation

 .env.example                                       |    20 +
 CHANGELOG.md                                       |   563 +-
 DEPLOYMENT.md                                      |   191 +
 IMPLEMENTATION_CHECKLIST.md                        |   226 +
 POSTGRES_MIGRATION_SUMMARY.md                      |   313 +
 QUICK_START.md                                     |   292 +
 backend/.env                                       |    26 +-
 backend/Dockerfile                                 |    23 +
 backend/alembic.ini                                |    88 +
 backend/alembic/env.py                             |    78 +
 backend/alembic/versions/001_initial_schema.py     |   455 +
 backend/api/enhanced_api.py                        |   951 +-
 backend/api/enhanced_api_redis.py                  |   693 +
 backend/app/config.py                              |   129 +-
 backend/config/database_config.py                  |    35 +-
 backend/db/schema.sql                              |   354 +
 backend/etl/calculate_kpis.sql                     |    47 +
 backend/etl/load_ml_outputs.py                     |   217 +
 backend/etl/run_kpi_calculations.py                |    27 +
 backend/ml_pipeline/main.py                        |   190 +
 backend/node_modules/.package-lock.json            |   104 +
 .../node_modules/commander/package-support.json    |    16 +
 backend/node_modules/commander/package.json        |    69 +
 backend/node_modules/js-tokens/package.json        |    30 +
 backend/node_modules/katex/dist/README.md          |   125 +
 .../node_modules/katex/dist/contrib/auto-render.js |   338 +
 .../katex/dist/contrib/auto-render.min.js          |     1 +
 .../katex/dist/contrib/auto-render.mjs             |   244 +
 .../node_modules/katex/dist/contrib/copy-tex.js    |   127 +
 .../katex/dist/contrib/copy-tex.min.js             |     1 +
 .../node_modules/katex/dist/contrib/copy-tex.mjs   |   105 +
 .../katex/dist/contrib/mathtex-script-type.js      |   109 +
 .../katex/dist/contrib/mathtex-script-type.min.js  |     1 +
 .../katex/dist/contrib/mathtex-script-type.mjs     |    24 +
 backend/node_modules/katex/dist/contrib/mhchem.js  |  3213 ++++
 .../node_modules/katex/dist/contrib/mhchem.min.js  |     1 +
 backend/node_modules/katex/dist/contrib/mhchem.mjs |  3109 +++
 .../katex/dist/contrib/render-a11y-string.js       |   887 +
 .../katex/dist/contrib/render-a11y-string.min.js   |     1 +
 .../katex/dist/contrib/render-a11y-string.mjs      |   800 +
 .../katex/dist/fonts/KaTeX_AMS-Regular.ttf         |   Bin 0 -> 63632 bytes
 .../katex/dist/fonts/KaTeX_AMS-Regular.woff        |   Bin 0 -> 33516 bytes
 .../katex/dist/fonts/KaTeX_AMS-Regular.woff2       |   Bin 0 -> 28076 bytes
 .../katex/dist/fonts/KaTeX_Caligraphic-Bold.ttf    |   Bin 0 -> 12368 bytes
 .../katex/dist/fonts/KaTeX_Caligraphic-Bold.woff   |   Bin 0 -> 7716 bytes
 .../katex/dist/fonts/KaTeX_Caligraphic-Bold.woff2  |   Bin 0 -> 6912 bytes
 .../katex/dist/fonts/KaTeX_Caligraphic-Regular.ttf |   Bin 0 -> 12344 bytes
 .../dist/fonts/KaTeX_Caligraphic-Regular.woff      |   Bin 0 -> 7656 bytes
 .../dist/fonts/KaTeX_Caligraphic-Regular.woff2     |   Bin 0 -> 6908 bytes
 .../katex/dist/fonts/KaTeX_Fraktur-Bold.ttf        |   Bin 0 -> 19584 bytes
 .../katex/dist/fonts/KaTeX_Fraktur-Bold.woff       |   Bin 0 -> 13296 bytes
 .../katex/dist/fonts/KaTeX_Fraktur-Bold.woff2      |   Bin 0 -> 11348 bytes
 .../katex/dist/fonts/KaTeX_Fraktur-Regular.ttf     |   Bin 0 -> 19572 bytes
 .../katex/dist/fonts/KaTeX_Fraktur-Regular.woff    |   Bin 0 -> 13208 bytes
 .../katex/dist/fonts/KaTeX_Fraktur-Regular.woff2   |   Bin 0 -> 11316 bytes
 .../katex/dist/fonts/KaTeX_Main-Bold.ttf           |   Bin 0 -> 51336 bytes
 .../katex/dist/fonts/KaTeX_Main-Bold.woff          |   Bin 0 -> 29912 bytes
 .../katex/dist/fonts/KaTeX_Main-Bold.woff2         |   Bin 0 -> 25324 bytes
 .../katex/dist/fonts/KaTeX_Main-BoldItalic.ttf     |   Bin 0 -> 32968 bytes
 .../katex/dist/fonts/KaTeX_Main-BoldItalic.woff    |   Bin 0 -> 19412 bytes
 .../katex/dist/fonts/KaTeX_Main-BoldItalic.woff2   |   Bin 0 -> 16780 bytes
 .../katex/dist/fonts/KaTeX_Main-Italic.ttf         |   Bin 0 -> 33580 bytes
 .../katex/dist/fonts/KaTeX_Main-Italic.woff        |   Bin 0 -> 19676 bytes
 .../katex/dist/fonts/KaTeX_Main-Italic.woff2       |   Bin 0 -> 16988 bytes
 .../katex/dist/fonts/KaTeX_Main-Regular.ttf        |   Bin 0 -> 53580 bytes
 .../katex/dist/fonts/KaTeX_Main-Regular.woff       |   Bin 0 -> 30772 bytes
 .../katex/dist/fonts/KaTeX_Main-Regular.woff2      |   Bin 0 -> 26272 bytes
 .../katex/dist/fonts/KaTeX_Math-BoldItalic.ttf     |   Bin 0 -> 31196 bytes
 .../katex/dist/fonts/KaTeX_Math-BoldItalic.woff    |   Bin 0 -> 18668 bytes
 .../katex/dist/fonts/KaTeX_Math-BoldItalic.woff2   |   Bin 0 -> 16400 bytes
 .../katex/dist/fonts/KaTeX_Math-Italic.ttf         |   Bin 0 -> 31308 bytes
 .../katex/dist/fonts/KaTeX_Math-Italic.woff        |   Bin 0 -> 18748 bytes
 .../katex/dist/fonts/KaTeX_Math-Italic.woff2       |   Bin 0 -> 16440 bytes
 .../katex/dist/fonts/KaTeX_SansSerif-Bold.ttf      |   Bin 0 -> 24504 bytes
 .../katex/dist/fonts/KaTeX_SansSerif-Bold.woff     |   Bin 0 -> 14408 bytes
 .../katex/dist/fonts/KaTeX_SansSerif-Bold.woff2    |   Bin 0 -> 12216 bytes
 .../katex/dist/fonts/KaTeX_SansSerif-Italic.ttf    |   Bin 0 -> 22364 bytes
 .../katex/dist/fonts/KaTeX_SansSerif-Italic.woff   |   Bin 0 -> 14112 bytes
 .../katex/dist/fonts/KaTeX_SansSerif-Italic.woff2  |   Bin 0 -> 12028 bytes
 .../katex/dist/fonts/KaTeX_SansSerif-Regular.ttf   |   Bin 0 -> 19436 bytes
 .../katex/dist/fonts/KaTeX_SansSerif-Regular.woff  |   Bin 0 -> 12316 bytes
 .../katex/dist/fonts/KaTeX_SansSerif-Regular.woff2 |   Bin 0 -> 10344 bytes
 .../katex/dist/fonts/KaTeX_Script-Regular.ttf      |   Bin 0 -> 16648 bytes
 .../katex/dist/fonts/KaTeX_Script-Regular.woff     |   Bin 0 -> 10588 bytes
 .../katex/dist/fonts/KaTeX_Script-Regular.woff2    |   Bin 0 -> 9644 bytes
 .../katex/dist/fonts/KaTeX_Size1-Regular.ttf       |   Bin 0 -> 12228 bytes
 .../katex/dist/fonts/KaTeX_Size1-Regular.woff      |   Bin 0 -> 6496 bytes
 .../katex/dist/fonts/KaTeX_Size1-Regular.woff2     |   Bin 0 -> 5468 bytes
 .../katex/dist/fonts/KaTeX_Size2-Regular.ttf       |   Bin 0 -> 11508 bytes
 .../katex/dist/fonts/KaTeX_Size2-Regular.woff      |   Bin 0 -> 6188 bytes
 .../katex/dist/fonts/KaTeX_Size2-Regular.woff2     |   Bin 0 -> 5208 bytes
 .../katex/dist/fonts/KaTeX_Size3-Regular.ttf       |   Bin 0 -> 7588 bytes
 .../katex/dist/fonts/KaTeX_Size3-Regular.woff      |   Bin 0 -> 4420 bytes
 .../katex/dist/fonts/KaTeX_Size3-Regular.woff2     |   Bin 0 -> 3624 bytes
 .../katex/dist/fonts/KaTeX_Size4-Regular.ttf       |   Bin 0 -> 10364 bytes
 .../katex/dist/fonts/KaTeX_Size4-Regular.woff      |   Bin 0 -> 5980 bytes
 .../katex/dist/fonts/KaTeX_Size4-Regular.woff2     |   Bin 0 -> 4928 bytes
 .../katex/dist/fonts/KaTeX_Typewriter-Regular.ttf  |   Bin 0 -> 27556 bytes
 .../katex/dist/fonts/KaTeX_Typewriter-Regular.woff |   Bin 0 -> 16028 bytes
 .../dist/fonts/KaTeX_Typewriter-Regular.woff2      |   Bin 0 -> 13568 bytes
 backend/node_modules/katex/dist/katex-swap.css     |  1230 ++
 backend/node_modules/katex/dist/katex-swap.min.css |     1 +
